"VAR1" "WAVE_NON" "TREE_NO" "año" "conos" "DBH" "crecimiento"
"130" "Blackbea" "n" "1114" 1992 0 7.9 10
"131" "Blackbea" "n" "1114" 1993 0 7.9 10
"132" "Blackbea" "n" "1114" 1994 24 7.9 10
"133" "Blackbea" "n" "1114" 1995 0 7.9 8
"134" "Blackbea" "n" "1114" 1996 5 7.9 9
"135" "Blackbea" "n" "1114" 1997 0 7.9 16
"136" "Blackbea" "n" "1114" 1998 6 7.9 10
"137" "Blackbea" "n" "1116" 1991 0 14.2 30
"138" "Blackbea" "n" "1116" 1992 0 14.2 26
"139" "Blackbea" "n" "1116" 1993 0 14.2 22
"140" "Blackbea" "n" "1116" 1994 117 14.2 10
"141" "Blackbea" "n" "1116" 1995 0 14.2 11
"142" "Blackbea" "n" "1116" 1996 0 14.2 25
"143" "Blackbea" "n" "1116" 1997 25 14.2 23
"144" "Blackbea" "n" "1116" 1998 74 14.2 20
"145" "Blackbea" "n" "1117" 1991 0 9.5 15.9
"146" "Blackbea" "n" "1117" 1992 0 9.5 12.9
"147" "Blackbea" "n" "1117" 1993 0 9.5 11.5
"148" "Blackbea" "n" "1117" 1994 27 9.5 7.6
"149" "Blackbea" "n" "1117" 1995 0 9.5 4.6
"150" "Blackbea" "n" "1117" 1996 0 9.5 7.5
"151" "Blackbea" "n" "1117" 1997 0 9.5 11.6
"152" "Blackbea" "n" "1117" 1998 0 9.5 7.3
"153" "Blackbea" "n" "1120" 1991 0 15.9 28
"154" "Blackbea" "n" "1120" 1992 0 15.9 29
"155" "Blackbea" "n" "1120" 1993 0 15.9 31
"156" "Blackbea" "n" "1120" 1994 103 15.9 11
"157" "Blackbea" "n" "1120" 1995 7 15.9 22
"158" "Blackbea" "n" "1120" 1996 25 15.9 18
"159" "Blackbea" "n" "1120" 1997 25 15.9 18
"160" "Blackbea" "n" "1120" 1998 137 15.9 10
"161" "Blackbea" "n" "1124" 1991 0 6 26
"162" "Blackbea" "n" "1124" 1992 0 6 23
"163" "Blackbea" "n" "1124" 1993 0 6 21
"164" "Blackbea" "n" "1124" 1994 36 6 14
"165" "Blackbea" "n" "1124" 1995 0 6 10
"166" "Blackbea" "n" "1124" 1996 0 6 14
"167" "Blackbea" "n" "1124" 1997 0 6 21
"168" "Blackbea" "n" "1124" 1998 0 6 14
"169" "Blackbea" "n" "1128" 1991 0 10.6 34
"170" "Blackbea" "n" "1128" 1992 0 10.6 23
"171" "Blackbea" "n" "1128" 1993 10 10.6 28
"172" "Blackbea" "n" "1128" 1994 56 10.6 13
"173" "Blackbea" "n" "1128" 1995 19 10.6 13
"174" "Blackbea" "n" "1128" 1996 0 10.6 10
"175" "Blackbea" "n" "1128" 1997 16 10.6 21
"176" "Blackbea" "n" "1128" 1998 24 10.6 24
"177" "Blackbea" "n" "1134" 1991 0 7.3 23
"178" "Blackbea" "n" "1134" 1992 0 7.3 13
"179" "Blackbea" "n" "1134" 1993 0 7.3 21
"180" "Blackbea" "n" "1134" 1994 11 7.3 17
"181" "Blackbea" "n" "1134" 1995 0 7.3 15
"182" "Blackbea" "n" "1134" 1996 0 7.3 14
"183" "Blackbea" "n" "1134" 1997 0 7.3 21
"184" "Blackbea" "n" "1134" 1998 12 7.3 16
"185" "Blackbea" "n" "1138" 1991 0 10.3 19
"186" "Blackbea" "n" "1138" 1992 0 10.3 18
"187" "Blackbea" "n" "1138" 1993 0 10.3 19
"188" "Blackbea" "n" "1138" 1994 36 10.3 10
"189" "Blackbea" "n" "1138" 1995 0 10.3 10
"190" "Blackbea" "n" "1138" 1996 0 10.3 21
"191" "Blackbea" "n" "1138" 1997 0 10.3 20
"192" "Blackbea" "n" "1138" 1998 10 10.3 22
"193" "Blackbea" "n" "1140" 1991 0 8.4 NA
"194" "Blackbea" "n" "1140" 1992 0 8.4 10
"195" "Blackbea" "n" "1140" 1993 0 8.4 12
"196" "Blackbea" "n" "1140" 1994 19 8.4 10
"197" "Blackbea" "n" "1140" 1995 0 8.4 11
"198" "Blackbea" "n" "1140" 1996 0 8.4 20
"199" "Blackbea" "n" "1140" 1997 0 8.4 18
"200" "Blackbea" "n" "1140" 1998 8 8.4 19
"201" "Blackbea" "n" "1144" 1991 0 10.2 25
"202" "Blackbea" "n" "1144" 1992 0 10.2 18
"203" "Blackbea" "n" "1144" 1993 0 10.2 17
"204" "Blackbea" "n" "1144" 1994 50 10.2 9
"205" "Blackbea" "n" "1144" 1995 0 10.2 10
"206" "Blackbea" "n" "1144" 1996 10 10.2 10
"207" "Blackbea" "n" "1144" 1997 0 10.2 28
"208" "Blackbea" "n" "1144" 1998 6 10.2 31
"209" "Blackbea" "n" "1147" 1991 0 13.8 19
"210" "Blackbea" "n" "1147" 1992 0 13.8 16
"211" "Blackbea" "n" "1147" 1993 0 13.8 25
"212" "Blackbea" "n" "1147" 1994 0 13.8 12
"213" "Blackbea" "n" "1147" 1995 0 13.8 20
"214" "Blackbea" "n" "1147" 1996 0 13.8 37
"215" "Blackbea" "n" "1147" 1997 0 13.8 30
"216" "Blackbea" "n" "1147" 1998 11 13.8 25
"217" "Blackbea" "n" "1148" 1991 0 9.4 20
"218" "Blackbea" "n" "1148" 1992 0 9.4 15
"219" "Blackbea" "n" "1148" 1993 0 9.4 15
"220" "Blackbea" "n" "1148" 1994 19 9.4 14
"221" "Blackbea" "n" "1148" 1995 0 9.4 12
"222" "Blackbea" "n" "1148" 1996 0 9.4 21
"223" "Blackbea" "n" "1148" 1997 0 9.4 24
"224" "Blackbea" "n" "1148" 1998 1 9.4 20
"225" "Blackbea" "n" "1150" 1991 0 8.1 26
"226" "Blackbea" "n" "1150" 1992 0 8.1 17
"227" "Blackbea" "n" "1150" 1993 0 8.1 16
"228" "Blackbea" "n" "1150" 1994 94 8.1 13
"229" "Blackbea" "n" "1150" 1995 0 8.1 15
"230" "Blackbea" "n" "1150" 1996 17 8.1 15
"231" "Blackbea" "n" "1150" 1997 0 8.1 18
"232" "Blackbea" "n" "1150" 1998 30 8.1 14
"233" "Blackbea" "n" "1152" 1991 0 9.6 22
"234" "Blackbea" "n" "1152" 1992 0 9.6 13
"235" "Blackbea" "n" "1152" 1993 0 9.6 17
"236" "Blackbea" "n" "1152" 1994 3 9.6 18
"237" "Blackbea" "n" "1152" 1995 0 9.6 15
"238" "Blackbea" "n" "1152" 1996 0 9.6 15
"239" "Blackbea" "n" "1152" 1997 0 9.6 17
"240" "Blackbea" "n" "1152" 1998 0 9.6 26
"241" "Blackbea" "n" "1154" 1991 0 7.3 15
"242" "Blackbea" "n" "1154" 1992 0 7.3 14
"243" "Blackbea" "n" "1154" 1993 0 7.3 15
"244" "Blackbea" "n" "1154" 1994 12 7.3 15
"245" "Blackbea" "n" "1154" 1995 0 7.3 15
"246" "Blackbea" "n" "1154" 1996 5 7.3 13
"247" "Blackbea" "n" "1154" 1997 0 7.3 18
"248" "Blackbea" "n" "1154" 1998 5 7.3 16
"249" "Blackbea" "n" "1156" 1991 0 7.4 12
"250" "Blackbea" "n" "1156" 1992 0 7.4 10
"251" "Blackbea" "n" "1156" 1993 0 7.4 10
"252" "Blackbea" "n" "1156" 1994 39 7.4 7
"253" "Blackbea" "n" "1156" 1995 0 7.4 8
"254" "Blackbea" "n" "1156" 1996 0 7.4 30
"255" "Blackbea" "n" "1156" 1997 0 7.4 17
"256" "Blackbea" "n" "1156" 1998 0 7.4 18
"257" "Blackbea" "n" "1158" 1991 0 10.3 29
"258" "Blackbea" "n" "1158" 1992 0 10.3 18
"259" "Blackbea" "n" "1158" 1993 0 10.3 19
"260" "Blackbea" "n" "1158" 1994 48 10.3 13
"261" "Blackbea" "n" "1158" 1995 0 10.3 12
"262" "Blackbea" "n" "1158" 1996 22 10.3 11
"263" "Blackbea" "n" "1158" 1997 0 10.3 18
"264" "Blackbea" "n" "1158" 1998 26 10.3 12
"265" "Blackbea" "n" "1164" 1991 NA 7 NA
"266" "Blackbea" "n" "1164" 1992 NA 7 NA
"267" "Blackbea" "n" "1164" 1993 NA 7 14
"268" "Blackbea" "n" "1164" 1994 0 7 11
"269" "Blackbea" "n" "1164" 1995 0 7 24
"270" "Blackbea" "n" "1164" 1996 2 7 13
"271" "Blackbea" "n" "1164" 1997 0 7 16
"272" "Blackbea" "n" "1164" 1998 5 7 10
"273" "Blackbea" "n" "1165" 1991 0 13.4 25
"274" "Blackbea" "n" "1165" 1992 0 13.4 21
"275" "Blackbea" "n" "1165" 1993 2 13.4 22
"276" "Blackbea" "n" "1165" 1994 35 13.4 11
"277" "Blackbea" "n" "1165" 1995 0 13.4 15
"278" "Blackbea" "n" "1165" 1996 4 13.4 27
"279" "Blackbea" "n" "1165" 1997 31 13.4 20
"280" "Blackbea" "n" "1165" 1998 134.5 13.4 13
"281" "Blackbea" "n" "1166" 1991 0 9.2 21
"282" "Blackbea" "n" "1166" 1992 0 9.2 17
"283" "Blackbea" "n" "1166" 1993 0 9.2 21
"284" "Blackbea" "n" "1166" 1994 29 9.2 15
"285" "Blackbea" "n" "1166" 1995 0 9.2 12
"286" "Blackbea" "n" "1166" 1996 0 9.2 15
"287" "Blackbea" "n" "1166" 1997 0 9.2 22
"288" "Blackbea" "n" "1166" 1998 11 9.2 20
"289" "Blackbea" "n" "1166agai" 1991 0 9.2 19
"290" "Blackbea" "n" "1166agai" 1992 0 9.2 21
"291" "Blackbea" "n" "1166agai" 1993 0 9.2 21
"292" "Blackbea" "n" "1166agai" 1994 19 9.2 15
"293" "Blackbea" "n" "1166agai" 1995 0 9.2 13
"294" "Blackbea" "n" "1166agai" 1996 0 9.2 17
"295" "Blackbea" "n" "1166agai" 1997 0 9.2 17
"296" "Blackbea" "n" "1166agai" 1998 6 9.2 24
"297" "Blackbea" "n" "1167" 1991 0 13.9 18.5
"298" "Blackbea" "n" "1167" 1992 0 13.9 12
"299" "Blackbea" "n" "1167" 1993 0 13.9 20.4
"300" "Blackbea" "n" "1167" 1994 101 13.9 14.7
"301" "Blackbea" "n" "1167" 1995 0 13.9 14.6
"302" "Blackbea" "n" "1167" 1996 48 13.9 20.6
"303" "Blackbea" "n" "1167" 1997 0 13.9 14
"304" "Blackbea" "n" "1167" 1998 82 13.9 12
"305" "Blackbea" "n" "1168" 1991 0 10.9 18
"306" "Blackbea" "n" "1168" 1992 0 10.9 14
"307" "Blackbea" "n" "1168" 1993 0 10.9 12
"308" "Blackbea" "n" "1168" 1994 32.5 10.9 13
"309" "Blackbea" "n" "1168" 1995 0 10.9 13
"310" "Blackbea" "n" "1168" 1996 0 10.9 26
"311" "Blackbea" "n" "1168" 1997 0 10.9 21
"312" "Blackbea" "n" "1168" 1998 31 10.9 13
"313" "Blackbea" "n" "1173" 1991 0 17.4 25.4
"314" "Blackbea" "n" "1173" 1992 0 17.4 20
"315" "Blackbea" "n" "1173" 1993 0 17.4 16.4
"316" "Blackbea" "n" "1173" 1994 145 17.4 14
"317" "Blackbea" "n" "1173" 1995 0 17.4 14.5
"318" "Blackbea" "n" "1173" 1996 0 17.4 21.3
"319" "Blackbea" "n" "1173" 1997 0 17.4 19.5
"320" "Blackbea" "n" "1173" 1998 57 17.4 12.3
"321" "Blackbea" "n" "1175" 1991 0 10.2 18
"322" "Blackbea" "n" "1175" 1992 5 10.2 20
"323" "Blackbea" "n" "1175" 1993 14 10.2 13
"324" "Blackbea" "n" "1175" 1994 7 10.2 10
"325" "Blackbea" "n" "1175" 1995 0 10.2 9
"326" "Blackbea" "n" "1175" 1996 0 10.2 24
"327" "Blackbea" "n" "1175" 1997 2 10.2 21
"328" "Blackbea" "n" "1175" 1998 26 10.2 14
"329" "Blackbea" "n" "1178" 1991 0 8.2 21
"330" "Blackbea" "n" "1178" 1992 0 8.2 20
"331" "Blackbea" "n" "1178" 1993 0 8.2 16
"332" "Blackbea" "n" "1178" 1994 32 8.2 8
"333" "Blackbea" "n" "1178" 1995 0 8.2 8
"334" "Blackbea" "n" "1178" 1996 0 8.2 17
"335" "Blackbea" "n" "1178" 1997 0 8.2 23
"336" "Blackbea" "n" "1178" 1998 0 8.2 17
"337" "Blackbea" "n" "1178agai" 1991 0 8.2 24
"338" "Blackbea" "n" "1178agai" 1992 0 8.2 21
"339" "Blackbea" "n" "1178agai" 1993 3 8.2 15
"340" "Blackbea" "n" "1178agai" 1994 38 8.2 10
"341" "Blackbea" "n" "1178agai" 1995 0 8.2 9
"342" "Blackbea" "n" "1178agai" 1996 0 8.2 18
"343" "Blackbea" "n" "1178agai" 1997 0 8.2 19
"344" "Blackbea" "n" "1178agai" 1998 0 8.2 17
"345" "Blackbea" "n" "1180" 1991 0 11.3 19
"346" "Blackbea" "n" "1180" 1992 0 11.3 19
"347" "Blackbea" "n" "1180" 1993 0 11.3 18
"348" "Blackbea" "n" "1180" 1994 31.5 11.3 17
"349" "Blackbea" "n" "1180" 1995 4 11.3 12
"350" "Blackbea" "n" "1180" 1996 0 11.3 18
"351" "Blackbea" "n" "1180" 1997 20 11.3 18
"352" "Blackbea" "n" "1180" 1998 42 11.3 14
"353" "Blackbea" "n" "1180agai" 1991 0 11.3 23
"354" "Blackbea" "n" "1180agai" 1992 0 11.3 22
"355" "Blackbea" "n" "1180agai" 1993 0 11.3 13
"356" "Blackbea" "n" "1180agai" 1994 53 11.3 14
"357" "Blackbea" "n" "1180agai" 1995 0 11.3 18
"358" "Blackbea" "n" "1180agai" 1996 0 11.3 16
"359" "Blackbea" "n" "1180agai" 1997 4 11.3 16
"360" "Blackbea" "n" "1180agai" 1998 72 11.3 11
"361" "Blackbea" "n" "1181" 1991 13 16.1 8
"362" "Blackbea" "n" "1181" 1992 4 16.1 20
"363" "Blackbea" "n" "1181" 1993 0 16.1 21
"364" "Blackbea" "n" "1181" 1994 35.5 16.1 23
"365" "Blackbea" "n" "1181" 1995 0 16.1 20
"366" "Blackbea" "n" "1181" 1996 0 16.1 13
"367" "Blackbea" "n" "1181" 1997 19 16.1 15
"368" "Blackbea" "n" "1181" 1998 71 16.1 6
"369" "Blackbea" "n" "1184" 1991 0 12.3 17
"370" "Blackbea" "n" "1184" 1992 0 12.3 19
"371" "Blackbea" "n" "1184" 1993 0 12.3 15
"372" "Blackbea" "n" "1184" 1994 47 12.3 10
"373" "Blackbea" "n" "1184" 1995 0 12.3 9
"374" "Blackbea" "n" "1184" 1996 17 12.3 10
"375" "Blackbea" "n" "1184" 1997 0 12.3 11
"376" "Blackbea" "n" "1184" 1998 18 12.3 9
"377" "Blackbea" "n" "1185" 1991 0 8.3 23
"378" "Blackbea" "n" "1185" 1992 0 8.3 14
"379" "Blackbea" "n" "1185" 1993 0 8.3 9
"380" "Blackbea" "n" "1185" 1994 32 8.3 11
"381" "Blackbea" "n" "1185" 1995 0 8.3 12
"382" "Blackbea" "n" "1185" 1996 0 8.3 16
"383" "Blackbea" "n" "1185" 1997 0 8.3 15
"384" "Blackbea" "n" "1185" 1998 33 8.3 11
"385" "Blackbea" "n" "1186" 1991 0 12.4 22
"386" "Blackbea" "n" "1186" 1992 0 12.4 29
"387" "Blackbea" "n" "1186" 1993 0 12.4 18
"388" "Blackbea" "n" "1186" 1994 84 12.4 19
"389" "Blackbea" "n" "1186" 1995 25 12.4 24
"390" "Blackbea" "n" "1186" 1996 0 12.4 15
"391" "Blackbea" "n" "1186" 1997 0 12.4 24
"392" "Blackbea" "n" "1186" 1998 44 12.4 13
"393" "Blackbea" "n" "1187" 1991 0 12.5 27
"394" "Blackbea" "n" "1187" 1992 2 12.5 19
"395" "Blackbea" "n" "1187" 1993 10 12.5 15
"396" "Blackbea" "n" "1187" 1994 76 12.5 9
"397" "Blackbea" "n" "1187" 1995 1 12.5 19
"398" "Blackbea" "n" "1187" 1996 0 12.5 22
"399" "Blackbea" "n" "1187" 1997 0 12.5 20
"400" "Blackbea" "n" "1187" 1998 34 12.5 14
"401" "Blackbea" "n" "1191" 1991 0 11.3 25
"402" "Blackbea" "n" "1191" 1992 0 11.3 14
"403" "Blackbea" "n" "1191" 1993 23 11.3 15
"404" "Blackbea" "n" "1191" 1994 35 11.3 13
"405" "Blackbea" "n" "1191" 1995 4 11.3 11
"406" "Blackbea" "n" "1191" 1996 0 11.3 9
"407" "Blackbea" "n" "1191" 1997 17 11.3 14
"408" "Blackbea" "n" "1191" 1998 52 11.3 11
"409" "Blackbea" "n" "1196" 1991 0 7.8 17
"410" "Blackbea" "n" "1196" 1992 0 7.8 13
"411" "Blackbea" "n" "1196" 1993 0 7.8 19
"412" "Blackbea" "n" "1196" 1994 35 7.8 10
"413" "Blackbea" "n" "1196" 1995 0 7.8 11
"414" "Blackbea" "n" "1196" 1996 0 7.8 19
"415" "Blackbea" "n" "1196" 1997 0 7.8 27
"416" "Blackbea" "n" "1196" 1998 8 7.8 19
"417" "Blackbea" "n" "1197" 1991 0 11.6 26
"418" "Blackbea" "n" "1197" 1992 5 11.6 16
"419" "Blackbea" "n" "1197" 1993 3 11.6 15
"420" "Blackbea" "n" "1197" 1994 65 11.6 10
"421" "Blackbea" "n" "1197" 1995 0 11.6 12
"422" "Blackbea" "n" "1197" 1996 0 11.6 12
"423" "Blackbea" "n" "1197" 1997 0 11.6 22
"424" "Blackbea" "n" "1197" 1998 25 11.6 12
"425" "Blackbea" "n" "1197agai" 1991 0 11.6 27
"426" "Blackbea" "n" "1197agai" 1992 0 11.6 14
"427" "Blackbea" "n" "1197agai" 1993 0 11.6 12
"428" "Blackbea" "n" "1197agai" 1994 53 11.6 12
"429" "Blackbea" "n" "1197agai" 1995 0 11.6 12
"430" "Blackbea" "n" "1197agai" 1996 0 11.6 19
"431" "Blackbea" "n" "1197agai" 1997 0 11.6 22
"432" "Blackbea" "n" "1197agai" 1998 24 11.6 12
"433" "Blackbea" "n" "1201" 1991 0 10 17
"434" "Blackbea" "n" "1201" 1992 0 10 12
"435" "Blackbea" "n" "1201" 1993 0 10 13
"436" "Blackbea" "n" "1201" 1994 28 10 10
"437" "Blackbea" "n" "1201" 1995 0 10 11
"438" "Blackbea" "n" "1201" 1996 0 10 15
"439" "Blackbea" "n" "1201" 1997 0 10 17
"440" "Blackbea" "n" "1201" 1998 9 10 10
"441" "Blackbea" "n" "1202" 1991 0 7 17
"442" "Blackbea" "n" "1202" 1992 0 7 22
"443" "Blackbea" "n" "1202" 1993 0 7 19
"444" "Blackbea" "n" "1202" 1994 34 7 18
"445" "Blackbea" "n" "1202" 1995 0 7 16
"446" "Blackbea" "n" "1202" 1996 0 7 20
"447" "Blackbea" "n" "1202" 1997 0 7 23
"448" "Blackbea" "n" "1202" 1998 0 7 17
"449" "Blackbea" "n" "1207" 1991 0 5.7 31
"450" "Blackbea" "n" "1207" 1992 0 5.7 11
"451" "Blackbea" "n" "1207" 1993 0 5.7 13
"452" "Blackbea" "n" "1207" 1994 10 5.7 12
"453" "Blackbea" "n" "1207" 1995 0 5.7 12
"454" "Blackbea" "n" "1207" 1996 0 5.7 13
"455" "Blackbea" "n" "1207" 1997 0 5.7 14
"456" "Blackbea" "n" "1207" 1998 0 5.7 10
"457" "Blackbea" "n" "1208" 1991 0 7.7 43
"458" "Blackbea" "n" "1208" 1992 0 7.7 40
"459" "Blackbea" "n" "1208" 1993 0 7.7 31
"460" "Blackbea" "n" "1208" 1994 50 7.7 20
"461" "Blackbea" "n" "1208" 1995 0 7.7 18
"462" "Blackbea" "n" "1208" 1996 0 7.7 22
"463" "Blackbea" "n" "1208" 1997 0 7.7 25
"464" "Blackbea" "n" "1208" 1998 15 7.7 20
"465" "Blackbea" "n" "1209" 1991 0 8.9 16
"466" "Blackbea" "n" "1209" 1992 0 8.9 17
"467" "Blackbea" "n" "1209" 1993 0 8.9 15
"468" "Blackbea" "n" "1209" 1994 18 8.9 19
"469" "Blackbea" "n" "1209" 1995 3 8.9 12
"470" "Blackbea" "n" "1209" 1996 1 8.9 18
"471" "Blackbea" "n" "1209" 1997 0 8.9 9
"472" "Blackbea" "n" "1209" 1998 13 8.9 10
"473" "Blackbea" "n" "1212 per" 1991 0 15.7 7
"474" "Blackbea" "n" "1212 per" 1992 0 15.7 7
"475" "Blackbea" "n" "1212 per" 1993 0 15.7 9
"476" "Blackbea" "n" "1212 per" 1994 109 15.7 8
"477" "Blackbea" "n" "1212 per" 1995 0 15.7 8
