"Var","Wave","Tree_name","1999","1998","1997","1996","1995","1994","1993","1992","1991","DBH"
"Lookout","w","37B",5,0,0,0,3,6,0,0,NA,NA
"Lookout","w","51A",0,3,0,0,0,0,0,0,NA,NA
"Lookout","w","51B",0,0,2,6,5,0,0,0,NA,NA
"Shrewys","w","388",1,4,2,0,0,0,0,0,0,5.8
"Shrewys","w","399",0,6,0,14,3,0,0,0,0,7.2
"Shrewys","w","405",0,0,4,0,0,0,0,3,0,NA
"Shrewys","w","408",0,7,0,0,0,0,0,0,0,5.6
"Shrewys","w","420",0,8,0,1,0,0,0,0,0,6.9
"Shrewys","w","424",3,7,9,0,0,4,0,0,0,11.3
"Shrewys","w","456",4,20,0,0,0,3,4,24,0,9.6
"Shrewys","w","C",0,6,0,0,0,5,4,0,0,NA
"Shrewys","w","485",10,12,0,0,10,8,8,0,0,6.8
"Shrewys","w","487",3,3,0,0,0,0,4,3,0,6.9
"Shrewys","w","492",0,0,0,0,0,2,0,0,0,6.6
"Shrewys","w","502",8,0,0,0,1,0,0,0,0,4.8
"Shrewys","w","504",0,0,1,0,2,0,0,0,0,4.4
"Shrewys","w","511",0,0,0,0,0,3,0,1,0,4.8
"Shrewys","w","513",0,5,0,2,0,9,0,0,0,8.5
"Shrewys","w","522",0,1,0,0,0,0,0,0,0,7
"Shrewys","w","526",11,21,19,5,9,20,3,0,0,8.7
"Shrewys","w","531",0,5,0,0,3,0,0,0,0,6.6
"Shrewys","w","535",0,15,0,0,2,8,2,0,0,8.6
"Shrewys","w","537",0,6,0,0,0,7,3,0,0,5.3
"Shrewys","w","538",5,23,29,30,39,41,12,5,0,10.4
"Shrewys","w","542",0,5,0,0,0,5,4,0,0,6.4
"Shrewys","w","543",0,1,1,7,11,2,0,0,0,5.4
"Shrewys","w","545",1,24,0,0,0,0,0,0,0,8.2
"Shrewys","w","547",2,19,0,0,30,1,0,0,0,5.5
"Shrewys","w","549",1,1,0,0,0,0,0,0,0,6.2
"Shrewys","w","551",12,15,18,14,27,24,24,0,0,14.7
"Shrewys","w","552",1,23,10,8,7,30,2,0,0,10.5
"Shrewys","w","555",0,18,14,18,14,8,12,1,0,14.4
"Shrewys","w","556",1,2,0,0,0,0,0,0,0,5.8
"Shrewys","w","558",3,5,0,3,19,6,0,0,NA,4.5
"Shrewys","w","560",7,17,8,12,12,0,0,0,0,6.1
"Shrewys","w","561",3,14,0,0,0,0,0,0,0,6.2
"Shrewys","w","565",0,4,0,0,2,2,0,0,0,6.2
"Shrewys","w","566",4,4,0,0,0,2,0,0,0,7.2
"Shrewys","w","567",0,0,0,0,2,4,0,0,0,6
"Shrewys","w","573",6,12,4,2,3,24,11,7,0,10.6
"Shrewys","w","576",4,8,3,16,21,6,0,0,0,8.7
"Shrewys","w","579",0,1,0,0,0,0,0,0,0,7.5
"Shrewys","w","581",0,0,0,7,0,15,0,0,0,7.3
"Shrewys","w","590",0,7,2,0,7,4,0,0,NA,5
"Shrewys","w","593",0,3,0,0,0,0,0,0,0,5.2
"Shrewys","w","595",0,1,0,0,5,5,0,0,0,6.9
"Shrewys","w","600",0,4,15,0,0,3,0,0,0,6.6
"Shrewys","w","602",0,0,0,0,0,2,0,0,0,6.7
"Shrewys","w","606",0,2,0,0,9,0,0,0,NA,11.4
"Shrewys","w","609",0,2,0,2,8,1,0,0,NA,3.3
"Shrewys","w","611",0,0,8,1,0,0,28,0,0,5.2
"Shrewys","w","612",3,4,1,0,0,0,0,0,0,6.9
"Shrewys","w","613",0,5,0,0,4,3,3,0,0,7.5
"Shrewys","w","614",11,17,15,10,0,8,0,0,0,9
"Shrewys","w","619",1,1,0,0,4,0,0,0,0,5.9
"Shrewys","w","620",0,0,3,9,7,0,0,0,NA,4.6
"Shrewys","w","621",0,5,2,4,3,1,3,0,0,6.5
"Shrewys","w","622",0,7,2,0,0,0,0,0,0,6.6
"Shrewys","w","624",5,12,9,9,23,32,14,5,0,9.8
"Shrewys","w","625",0,0,4,0,5,4,0,0,NA,5
"Shrewys","w","626",2,1,0,4,2,0,0,0,0,NA
"Shrewys","w","627",0,0,6,16,21,9,2,0,0,4.7
"Shrewys","w","628",0,0,0,0,4,0,0,0,0,4.2
"Shrewys","w","629",0,7,4,0,0,0,0,0,0,4.8
"Shrewys","w","550a",0,1,0,0,0,0,0,0,0,NA
"Shrewys","w","550b",4,2,0,0,0,0,0,0,0,NA
"Shrewys","w","587a",1,3,0,0,10,7,0,0,0,NA
"Shrewys","w","587b",0,2,2,1,1,0,0,0,0,NA
"Wills","w","327",0,10,0,0,0,20,0,0,0,6.7
"Wills","w","328",0,0,0,0,0,0,0,0,0,6.5
"Wills","w","329",0,0,0,0,0,0,0,0,0,6.7
"Wills","w","330",0,0,0,0,0,3,0,0,0,5.9
"Wills","w","333",0,0,0,0,0,0,0,0,0,5.4
"Wills","w","336",0,5,0,4,0,7,0,0,0,6.9
"Wills","w","337",0,17,0,0,0,5,0,0,0,6.5
"Wills","w","339",2,0,0,0,0,4,3,0,0,6
"Wills","w","341",0,3,10,10,8,0,6,11,8,12
"Wills","w","346",0,0,0,0,0,17,0,0,0,7.5
"Wills","w","347",0,21,0,0,0,43,0,0,0,6.4
"Wills","w","354",4,0,0,9,0,22,3,0,0,7.3
"Wills","w","354",12,19,0,0,0,21,7,0,0,7.3
"Wills","w","356",9,0,0,0,0,28,0,0,0,6.4
"Wills","w","360",6,5,0,0,11,0,0,0,0,7
"Wills","w","362",9,8,0,0,3,21,0,0,0,5.9
"Wills","w","364",0,1,0,0,0,0,0,0,0,9.1
"Wills","w","330a",0,4,0,0,0,5,0,0,0,NA
"Wills","w","317",0,2,0,0,0,4,0,NA,NA,5.7
"Wills","w","326",3,1,NA,NA,NA,NA,NA,NA,NA,5.8
"Wills","w","327",0,5,4,0,0,4,7,2,0,6.7
"Wills","w","331",5,0,3,2,0,1,4,1,0,4
"Wills","w","334",3,5,7,5,2,3,0,NA,NA,7.5
"Wills","w","337",3,14,0,0,0,0,0,0,0,6.5
"Wills","w","338",1,2,4,0,0,0,0,0,NA,5.9
"Wills","w","339",3,2,0,0,0,3,3,NA,NA,6
"Wills","w","341",3,2,4,5,6,NA,NA,NA,NA,12
"Wills","w","347",0,7,19,0,4,21,0,0,NA,6.4
"Wills","w","356",0,7,0,0,0,0,0,NA,NA,6.4
"Wills","w","358",0,4,0,0,0,0,0,0,0,4.7
"Wills","w","359",4,0,1,4,0,0,0,NA,NA,4
"Wills","w","360",5,1,5,0,0,0,NA,NA,NA,7
"Wills","w","361",0,1,0,0,0,0,NA,NA,NA,6.3
"Wills","w","362",0,2,3,0,NA,NA,NA,NA,NA,5.9
"Wills","w","363",5,0,0,NA,NA,NA,NA,NA,NA,4.7
